id,title,category,mode,kind,family_id,variant,status,size,model,requires,prompt
product-skincare,护肤品主图,product,generate,original,product-skincare,base,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-editorial,护肤品主图 · 编辑精选,product,generate,variation,product-skincare,editorial,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于编辑精选展示。保留主要内容和媒介，删减非必要的背景装饰，让主视觉与次要细节的层级更鲜明。不要删除任务要求的文字、对象或图解关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-thumbnail,护肤品主图 · 缩略图优先,product,generate,variation,product-skincare,thumbnail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于缩略图浏览。通过更清晰的轮廓、主体与背景明暗分离来提升识别度；弱化非必要微小纹理，保留所有必要文字和完整主体。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-detail,护肤品主图 · 细节呈现,product,generate,variation,product-skincare,detail,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于近距离查看。提升材质边缘、结构交界和局部细节的可辨性；沿用原构图和对象数量，不通过堆叠装饰来增加细节。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-quiet,护肤品主图 · 克制留白,product,generate,variation,product-skincare,quiet,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于安静、克制的视觉呈现。减少背景纹理和非必要装饰，强化负空间；保留必要的标签、关系、物件与原有视觉媒介。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-presentation,护肤品主图 · 演示使用,product,generate,variation,product-skincare,presentation,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于演示页面。确保远距离观看时主体层次仍然明确，必要文字清楚，信息区域之间有充足间距；不添加新的标题、数据或图例。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-print,护肤品主图 · 印刷审阅,product,generate,variation,product-skincare,print,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于印刷前视觉审阅。避免暗部完全糊成一片与高光大面积纯白溢出，保留边缘和细节；保持既有色板。本图仍是栅格概念，不声称已满足印刷色彩或出血规格。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-accessible,护肤品主图 · 清晰辨识,product,generate,variation,product-skincare,accessible,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于清晰辨识的设计版本。相邻重要元素除颜色差异外，还需有轮廓或明度差异；必要文字与底色对比充分，不凭色彩单独编码语义。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-balanced,护肤品主图 · 均衡层次,product,generate,variation,product-skincare,balanced,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于均衡层次的呈现。控制前中后景或主次信息的视觉权重，避免边缘装饰抢占注意力，保留全部关键对象、文字与关系。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-skincare-clean,护肤品主图 · 干净收尾,product,generate,variation,product-skincare,clean,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一瓶无品牌的磨砂玻璃精华液，浅米色背景，半透明瓶身能看到液面。
构图与视觉：正面略俯视，单侧条形柔光突出玻璃边缘，右侧保留文案空间。
必须遵守：只出现一件商品，不虚构功效标识。
版本要求：用于清理视觉瑕疵后的版本。重点消除不必要的重影、断裂边缘、融合物件和伪文字；不改变指定内容，不新增解释性元素。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
product-sneaker,运动鞋细节,product,generate,original,product-sneaker,base,prompt-only,1536x1024,flare,0,"任务：创作一张完整图像。
主体与场景：一双灰白跑鞋，针织鞋面、半透明中底、橡胶纹理。
构图与视觉：低机位侧视，一只完整展示另一只稍后错开，柔和棚拍。
必须遵守：保持两只鞋款式一致，鞋带路径合理。
交付检查：商品轮廓、材质真实性、接触阴影、标签准确性。不添加未要求的水印或署名。"
